classification	reason	file	line	column	value	context	decision	replacement
value_review	Owning entity file (InvoiceIssueStatus)	specification/datasets/invoice_detail/columns/invoiceissuestatus.md	46	164	Voided	"The publication state of the invoice and the reliability of its associated delivered data, indicating if it is provisional (""Open""), issued (""Issued""), or voided (""Voided"")."	owning_entity_review	`Voided`
value_high	Entity predicate (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	13	28	Usage	"* ChargeCategory MUST be ""Usage"" when the *charge* represents consumption of a service or resource."	classified_high	`Usage`
value_high	Entity predicate (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	14	28	Purchase	"* ChargeCategory MUST be ""Purchase"" when the *charge* represents acquisition of a service, resource, or *commitment*."	classified_high	`Purchase`
value_high	Entity predicate (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	15	28	Tax	"* ChargeCategory MUST be ""Tax"" when the *charge* represents taxes levied by the relevant authorities."	classified_high	`Tax`
value_high	Entity predicate (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	16	28	Credit	"* ChargeCategory MUST be ""Credit"" when the *charge* represents a financial incentive or allowance unrelated to other *charges*."	classified_high	`Credit`
value_high	Entity predicate (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	17	28	Adjustment	"* ChargeCategory MUST be ""Adjustment"" when the *charge* represents a billing modification that does not fall into other ChargeCategories."	classified_high	`Adjustment`
value_high	Entity predicate (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	19	27	Usage	"* ChargeCategory MAY be ""Usage"" when the record aggregates *charges* across multiple allowed values other than ""Tax"" (e.g., aggregation of ""Usage"" and ""Credit"" is allowed, but not ""Usage"" and ""Tax"")."	classified_high	`Usage`
value_high	Explicit allowed-value context	specification/datasets/invoice_detail/columns/chargecategory.md	19	114	Tax	"* ChargeCategory MAY be ""Usage"" when the record aggregates *charges* across multiple allowed values other than ""Tax"" (e.g., aggregation of ""Usage"" and ""Credit"" is allowed, but not ""Usage"" and ""Tax"")."	classified_high	`Tax`
value_high	Normative entity context (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	19	142	Usage	"* ChargeCategory MAY be ""Usage"" when the record aggregates *charges* across multiple allowed values other than ""Tax"" (e.g., aggregation of ""Usage"" and ""Credit"" is allowed, but not ""Usage"" and ""Tax"")."	classified_high	`Usage`
value_high	Normative entity context (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	19	154	Credit	"* ChargeCategory MAY be ""Usage"" when the record aggregates *charges* across multiple allowed values other than ""Tax"" (e.g., aggregation of ""Usage"" and ""Credit"" is allowed, but not ""Usage"" and ""Tax"")."	classified_high	`Credit`
value_high	Normative entity context (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	19	183	Usage	"* ChargeCategory MAY be ""Usage"" when the record aggregates *charges* across multiple allowed values other than ""Tax"" (e.g., aggregation of ""Usage"" and ""Credit"" is allowed, but not ""Usage"" and ""Tax"")."	classified_high	`Usage`
value_high	Normative entity context (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	19	195	Tax	"* ChargeCategory MAY be ""Usage"" when the record aggregates *charges* across multiple allowed values other than ""Tax"" (e.g., aggregation of ""Usage"" and ""Credit"" is allowed, but not ""Usage"" and ""Tax"")."	classified_high	`Tax`
value_review	Owning entity file (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	33	548	Usage	"Unlike the [CostAndUsage](#datamodel.costandusage) dataset, which requires strict categorization per row, [InvoiceDetail](#datamodel.invoicedetail) records are designed to align with physical or electronic invoice line items. When the invoice does not provide an explicit charge category for a line item, a single line item may inherently represent a mix of charge categories (e.g., combining base usage and promotional credits). To accurately reflect the issued invoice without breaking schema validation, the `InvoiceDetail` dataset permits the ""Usage"" category to represent an aggregate of multiple charge categories, provided that ""Tax"" charges are kept distinctly separate."	owning_entity_review	`Usage`
value_review	Owning entity file (ChargeCategory)	specification/datasets/invoice_detail/columns/chargecategory.md	33	636	Tax	"Unlike the [CostAndUsage](#datamodel.costandusage) dataset, which requires strict categorization per row, [InvoiceDetail](#datamodel.invoicedetail) records are designed to align with physical or electronic invoice line items. When the invoice does not provide an explicit charge category for a line item, a single line item may inherently represent a mix of charge categories (e.g., combining base usage and promotional credits). To accurately reflect the issued invoice without breaking schema validation, the `InvoiceDetail` dataset permits the ""Usage"" category to represent an aggregate of multiple charge categories, provided that ""Tax"" charges are kept distinctly separate."	owning_entity_review	`Tax`
value_high	Normative entity context (PaymentTerms)	specification/datasets/invoice_detail/columns/paymentterms.md	12	56	Net 30	"* PaymentTerms MUST represent the payment terms (e.g., ""Net 30"") as defined on the corresponding invoice."	classified_high	`Net 30`
ambiguous	No deterministic value relationship	specification/appendix/examples/commitment_discount_flexibility_examples/one_hundred_percent_utilization_with_commitment_discount_flexibility_with_2_resources.md	33	54	Normalized Hour	"* 1 recurring, purchase record exists for 1 eligible ""Normalized Hour"" for a no upfront, *commitment discount* and incurs a $2.00 [*BilledCost*](#datamodel.costandusage.billedcost)."	manual_apply	`Normalized Hour`
ambiguous	No deterministic value relationship	specification/appendix/examples/commitment_discount_flexibility_examples/zero_percent_utilization_without_commitment_discount_flexibility.md	33	54	Hour	"* 1 recurring, purchase record exists for 1 eligible ""Hour"" of the no upfront, *commitment discount* and incurs a $1.50 [*BilledCost*](#datamodel.costandusage.billedcost)."	manual_apply	`Hour`
value_high	Entity predicate (CommitmentDiscountUnit)	specification/appendix/examples/commitment_discount_flexibility_examples/commitment_discount_flexibility_examples_overview.md	5	457	Hour	"When mixing usage-based commitment discounts with and without *commitment discount flexibility* and [*CommitmentDiscountQuantity*](#datamodel.costandusage.commitmentdiscountquantity) measured by time, it is important to differentiate the [*CommitmentDiscountUnit*](#datamodel.costandusage.commitmentdiscountunit) for each type of *commitment discount*. In each scenario below, *commitment discounts* *without* *commitment discount flexibility* applied use ""Hour"" as the *CommitmentDiscountUnit*, and conversely commitment discounts *with* *commitment discount flexibility* applied use ""Normalized Hour"" as the *CommitmentDiscountUnit*."	classified_high	`Hour`
value_high	Entity predicate (CommitmentDiscountUnit)	specification/appendix/examples/commitment_discount_flexibility_examples/commitment_discount_flexibility_examples_overview.md	5	586	Normalized Hour	"When mixing usage-based commitment discounts with and without *commitment discount flexibility* and [*CommitmentDiscountQuantity*](#datamodel.costandusage.commitmentdiscountquantity) measured by time, it is important to differentiate the [*CommitmentDiscountUnit*](#datamodel.costandusage.commitmentdiscountunit) for each type of *commitment discount*. In each scenario below, *commitment discounts* *without* *commitment discount flexibility* applied use ""Hour"" as the *CommitmentDiscountUnit*, and conversely commitment discounts *with* *commitment discount flexibility* applied use ""Normalized Hour"" as the *CommitmentDiscountUnit*."	classified_high	`Normalized Hour`
ambiguous	No deterministic value relationship	specification/appendix/examples/commitment_discount_flexibility_examples/one_hundred_percent_utilization_without_commitment_discount_flexibility.md	33	54	Hour	"* 1 recurring, purchase record exists for 1 eligible ""Hour"" of the no upfront, *commitment discount* and incurs a $1.50 [*BilledCost*](#datamodel.costandusage.billedcost)."	manual_apply	`Hour`
ambiguous	No deterministic value relationship	specification/appendix/examples/commitment_discount_flexibility_examples/one_hundred_percent_utilization_with_commitment_discount_flexibility_with_1_resource.md	33	54	Normalized Hour	"* 1 recurring, purchase record exists for 1 eligible ""Normalized Hour"" of the no upfront, *commitment discount* and incurs a $0.50 [*BilledCost*](#datamodel.costandusage.billedcost)."	manual_apply	`Normalized Hour`
ambiguous	No deterministic value relationship	specification/appendix/metadata_examples/dataset_instance_metadata_example.md	5	45	Cost and Usage Daily,	"CrestNode provides three dataset instances: ""Cost and Usage Daily,"" ""Cost and Usage Hourly,"" and ""Contract Commitments,"" corresponding to the FOCUS datasets Cost and Usage and Contract Commitment. CrestNode also provides a metadata directory containing a single file with metadata for each dataset instance."	manual_apply	`Cost and Usage Daily`,
ambiguous	No deterministic value relationship	specification/appendix/metadata_examples/dataset_instance_metadata_example.md	5	69	Cost and Usage Hourly,	"CrestNode provides three dataset instances: ""Cost and Usage Daily,"" ""Cost and Usage Hourly,"" and ""Contract Commitments,"" corresponding to the FOCUS datasets Cost and Usage and Contract Commitment. CrestNode also provides a metadata directory containing a single file with metadata for each dataset instance."	manual_apply	`Cost and Usage Hourly`,
ambiguous	No deterministic value relationship	specification/appendix/metadata_examples/dataset_instance_metadata_example.md	5	98	Contract Commitments,	"CrestNode provides three dataset instances: ""Cost and Usage Daily,"" ""Cost and Usage Hourly,"" and ""Contract Commitments,"" corresponding to the FOCUS datasets Cost and Usage and Contract Commitment. CrestNode also provides a metadata directory containing a single file with metadata for each dataset instance."	manual_apply	`Contract Commitments`,
value_high	Entity predicate (PricingQuantity)	specification/datasets/cost_and_usage/columns/pricingquantity.md	13	99	Tax	"* PricingQuantity MUST be null when [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax""."	classified_high	`Tax`
value_high	Entity predicate (PricingQuantity)	specification/datasets/cost_and_usage/columns/pricingquantity.md	14	61	Usage	"* PricingQuantity MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Usage`
value_high	Normative entity context (PricingQuantity)	specification/datasets/cost_and_usage/columns/pricingquantity.md	14	72	Purchase	"* PricingQuantity MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Purchase`
value_high	Entity predicate (PricingQuantity)	specification/datasets/cost_and_usage/columns/pricingquantity.md	14	145	Correction	"* PricingQuantity MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Correction`
value_review	Owning entity file (PricingQuantity)	specification/datasets/cost_and_usage/columns/pricingquantity.md	20	477	Usage	"**Aggregation:** When aggregating Pricing Quantity for commitment utilization calculations, it's important to exclude [*commitment discount*](#glossary:commitment-discount) purchases (i.e., when Charge Category is ""Purchase"") that are paid to cover future eligible [*charges*](#glossary:charge) (e.g., *commitment discount*). Otherwise, when accounting for all upfront or accrued purchases, it's important to exclude *commitment discount* usage (i.e., when Charge Category is ""Usage""). This exclusion helps prevent double counting of these quantities in the aggregation."	owning_entity_review	`Usage`
value_high	Entity predicate (ContractAppliedObject)	specification/datasets/cost_and_usage/columns/contractapplied.md	33	184	Purchase	"* ContractAppliedObject.Elements[\*].ContractCommitmentId MUST match [ResourceId](#datamodel.costandusage.resourceid) when [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Purchase"" and the *charge* represents a purchase of that *contract commitment*."	classified_high	`Purchase`
value_high	Entity predicate (ContractAppliedObject)	specification/datasets/cost_and_usage/columns/contractapplied.md	34	104	Usage	"* ContractAppliedObject.Elements[\*].ContractCommitmentId MUST match ResourceId when ChargeCategory is ""Usage"" and the *charge* represents an unused portion of that *contract commitment*."	classified_high	`Usage`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/chargecategory.md	12	26	Usage	"* ChargeCategory MUST be ""Usage"" when the *charge* represents consumption of a service or resource."	classified_high	`Usage`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/chargecategory.md	13	26	Purchase	"* ChargeCategory MUST be ""Purchase"" when the *charge* represents acquisition of a service, resource, or *commitment*."	classified_high	`Purchase`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/chargecategory.md	14	26	Tax	"* ChargeCategory MUST be ""Tax"" when the *charge* represents taxes levied by the relevant authorities."	classified_high	`Tax`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/chargecategory.md	15	26	Credit	"* ChargeCategory MUST be ""Credit"" when the *charge* represents a financial incentive or allowance unrelated to other charges."	classified_high	`Credit`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/chargecategory.md	16	26	Adjustment	"* ChargeCategory MUST be ""Adjustment"" when the *charge* represents a billing modification that does not fall into other ChargeCategories."	classified_high	`Adjustment`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/effectivecost.md	18	104	Usage	"* EffectiveCost MUST equal BilledCost when [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Usage"" and the *charge* is not *covered* by other eligible *charges*."	classified_high	`Usage`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/effectivecost.md	19	62	Purchase	"* EffectiveCost MUST equal BilledCost when ChargeCategory is ""Purchase"" and the *charge* is neither intended to cover other eligible *charges* nor *covered* by other eligible *charges*."	classified_high	`Purchase`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/effectivecost.md	20	62	Tax	"* EffectiveCost MUST equal BilledCost when ChargeCategory is ""Tax"" or ""Credit""."	classified_high	`Tax`
value_high	Normative entity context (ChargeCategory)	specification/datasets/cost_and_usage/columns/effectivecost.md	20	71	Credit	"* EffectiveCost MUST equal BilledCost when ChargeCategory is ""Tax"" or ""Credit""."	classified_high	`Credit`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/effectivecost.md	21	67	Adjustment	"* EffectiveCost MAY differ from BilledCost when ChargeCategory is ""Adjustment""."	classified_high	`Adjustment`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/effectivecost.md	22	147	Purchase	"* EffectiveCost MUST include any portion of the BilledCost of [*covering*](#glossary:covering-charge) purchase *charges* (i.e., ChargeCategory is ""Purchase"") that is applied to this *charge*."	classified_high	`Purchase`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/effectivecost.md	23	50	Purchase	"* EffectiveCost MUST be 0 when ChargeCategory is ""Purchase"" and the purchase is intended to cover related eligible *charges*. This requirement applies even when the *covered charges* originate from different [CostAndUsage](#datamodel.costandusage) [*dataset instances*](#glossary:dataset-instance), possibly from a different [ServiceProviderName](#datamodel.costandusage.serviceprovidername)."	classified_high	`Purchase`
value_high	Entity predicate (CommitmentDiscountId)	specification/datasets/cost_and_usage/columns/commitmentdiscountid.md	16	157	Purchase	"* CommitmentDiscountId MUST be equal to [ResourceId](#datamodel.costandusage.resourceid) when [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Purchase"" and the *charge* represents a purchase of that *commitment discount*."	classified_high	`Purchase`
value_high	Entity predicate (CommitmentDiscountId)	specification/datasets/cost_and_usage/columns/commitmentdiscountid.md	17	77	Usage	"* CommitmentDiscountId MUST be equal to ResourceId when ChargeCategory is ""Usage"" and the *charge* represents an unused portion of that *commitment discount*."	classified_high	`Usage`
value_high	Entity predicate (PricingCurrencyListUnitPrice)	specification/datasets/cost_and_usage/columns/pricingcurrencylistunitprice.md	13	112	Tax	"* PricingCurrencyListUnitPrice MUST be null when [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax""."	classified_high	`Tax`
value_high	Entity predicate (PricingCurrencyListUnitPrice)	specification/datasets/cost_and_usage/columns/pricingcurrencylistunitprice.md	15	74	Usage	"* PricingCurrencyListUnitPrice MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Usage`
value_high	Normative entity context (PricingCurrencyListUnitPrice)	specification/datasets/cost_and_usage/columns/pricingcurrencylistunitprice.md	15	85	Purchase	"* PricingCurrencyListUnitPrice MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Purchase`
value_high	Entity predicate (PricingCurrencyListUnitPrice)	specification/datasets/cost_and_usage/columns/pricingcurrencylistunitprice.md	15	158	Correction	"* PricingCurrencyListUnitPrice MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Correction`
value_high	Entity predicate (CommitmentDiscountStatus)	specification/datasets/cost_and_usage/columns/resourceid.md	17	215	Used	"* ResourceId MUST be the identifier of the *resource* that received the [*commitment discount*](#glossary:commitment-discount) when [CommitmentDiscountStatus](#datamodel.costandusage.commitmentdiscountstatus) is ""Used""."	classified_high	`Used`
value_high	Entity predicate (HostProviderName)	specification/datasets/cost_and_usage/columns/hostprovidername.md	15	218	Tax	"* HostProviderName MAY be NULL when the information about the entity providing the underlying infrastructure cannot be uniquely determined (e.g., when the [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax"" or ""Adjustment"")."	classified_high	`Tax`
value_high	Normative entity context (ChargeCategory)	specification/datasets/cost_and_usage/columns/hostprovidername.md	15	227	Adjustment	"* HostProviderName MAY be NULL when the information about the entity providing the underlying infrastructure cannot be uniquely determined (e.g., when the [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax"" or ""Adjustment"")."	classified_high	`Adjustment`
value_high	Entity predicate (PricingCategory)	specification/datasets/cost_and_usage/columns/pricingcategory.md	12	99	Tax	"* PricingCategory MUST be null when [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax""."	classified_high	`Tax`
value_high	Entity predicate (PricingCategory)	specification/datasets/cost_and_usage/columns/pricingcategory.md	13	61	Usage	"* PricingCategory MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Usage`
value_high	Normative entity context (PricingCategory)	specification/datasets/cost_and_usage/columns/pricingcategory.md	13	72	Purchase	"* PricingCategory MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Purchase`
value_high	Entity predicate (PricingCategory)	specification/datasets/cost_and_usage/columns/pricingcategory.md	13	145	Correction	"* PricingCategory MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Correction`
value_high	Entity predicate (PricingCategory)	specification/datasets/cost_and_usage/columns/pricingcategory.md	17	29	Standard	"* PricingCategory MUST be ""Standard"" when pricing is predetermined at the agreed upon rate for the [billing account](#glossary:billing-account)."	classified_high	`Standard`
value_high	Entity predicate (PricingCategory)	specification/datasets/cost_and_usage/columns/pricingcategory.md	18	29	Committed	"* PricingCategory MUST be ""Committed"" when the *charge* is subject to an existing *commitment discount* and is not the purchase of the *commitment discount*."	classified_high	`Committed`
value_high	Entity predicate (PricingCategory)	specification/datasets/cost_and_usage/columns/pricingcategory.md	19	29	Dynamic	"* PricingCategory MUST be ""Dynamic"" when pricing is determined by the service provider and may change over time, regardless of predetermined agreement pricing."	classified_high	`Dynamic`
value_high	Entity predicate (PricingCategory)	specification/datasets/cost_and_usage/columns/pricingcategory.md	20	29	Other	"* PricingCategory MUST be ""Other"" when there is a pricing model but none of the allowed values apply."	classified_high	`Other`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/skupriceid.md	14	94	Tax	"* SkuPriceId MUST be null when [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax""."	classified_high	`Tax`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/skupriceid.md	15	56	Usage	"* SkuPriceId MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Usage`
value_high	Normative entity context (ChargeCategory)	specification/datasets/cost_and_usage/columns/skupriceid.md	15	67	Purchase	"* SkuPriceId MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Purchase`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/skupriceid.md	15	140	Correction	"* SkuPriceId MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Correction`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/skupriceid.md	22	138	Usage	"* SkuPriceId MUST be associated with a given [*resource*](#glossary:resource) or [*service*](#glossary:service) when ChargeCategory is ""Usage"" or ""Purchase""."	classified_high	`Usage`
value_high	Normative entity context (ChargeCategory)	specification/datasets/cost_and_usage/columns/skupriceid.md	22	149	Purchase	"* SkuPriceId MUST be associated with a given [*resource*](#glossary:resource) or [*service*](#glossary:service) when ChargeCategory is ""Usage"" or ""Purchase""."	classified_high	`Purchase`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/skuid.md	25	89	Tax	"* SkuId MUST be null when [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax""."	classified_high	`Tax`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/skuid.md	26	51	Usage	"* SkuId MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Usage`
value_high	Normative entity context (ChargeCategory)	specification/datasets/cost_and_usage/columns/skuid.md	26	62	Purchase	"* SkuId MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Purchase`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/skuid.md	26	135	Correction	"* SkuId MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Correction`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/skuid.md	32	131	Usage	"* SkuId MUST be associated with a given [*resource*](#glossary:resource) or [*service*](#glossary:service) when ChargeCategory is ""Usage"" or ""Purchase""."	classified_high	`Usage`
value_high	Normative entity context (ChargeCategory)	specification/datasets/cost_and_usage/columns/skuid.md	32	142	Purchase	"* SkuId MUST be associated with a given [*resource*](#glossary:resource) or [*service*](#glossary:service) when ChargeCategory is ""Usage"" or ""Purchase""."	classified_high	`Purchase`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/listunitprice.md	13	97	Tax	"* ListUnitPrice MUST be null when [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax""."	classified_high	`Tax`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/listunitprice.md	15	59	Usage	"* ListUnitPrice MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Usage`
value_high	Normative entity context (ChargeCategory)	specification/datasets/cost_and_usage/columns/listunitprice.md	15	70	Purchase	"* ListUnitPrice MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Purchase`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/listunitprice.md	15	143	Correction	"* ListUnitPrice MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Correction`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/listcost.md	14	160	Tax	"* ListCost of a [*charge*](#glossary:charge) calculated based on other *charges* (e.g., when the [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax"") MUST be calculated based on the ListCost of those related *charges*."	classified_high	`Tax`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/listcost.md	15	91	Credit	"* ListCost of a *charge* unrelated to other *charges* (e.g., when the ChargeCategory is ""Credit"") MUST be equal to the [BilledCost](#datamodel.costandusage.billedcost)."	classified_high	`Credit`
value_high	Entity predicate (ContractedUnitPrice)	specification/datasets/cost_and_usage/columns/contractedunitprice.md	13	103	Tax	"* ContractedUnitPrice MUST be null when [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax""."	classified_high	`Tax`
value_high	Entity predicate (ContractedUnitPrice)	specification/datasets/cost_and_usage/columns/contractedunitprice.md	15	65	Usage	"* ContractedUnitPrice MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Usage`
value_high	Normative entity context (ContractedUnitPrice)	specification/datasets/cost_and_usage/columns/contractedunitprice.md	15	76	Purchase	"* ContractedUnitPrice MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Purchase`
value_high	Entity predicate (ContractedUnitPrice)	specification/datasets/cost_and_usage/columns/contractedunitprice.md	15	149	Correction	"* ContractedUnitPrice MUST NOT be null when ChargeCategory is ""Usage"" or ""Purchase"" and [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Correction`
value_high	Entity predicate (CapacityReservationStatus)	specification/datasets/cost_and_usage/columns/capacityreservationstatus.md	12	151	Usage	"* CapacityReservationStatus MUST NOT be null when CapacityReservationId is not null and [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Usage""."	classified_high	`Usage`
value_high	Entity predicate (CapacityReservationStatus)	specification/datasets/cost_and_usage/columns/capacityreservationstatus.md	15	39	Unused	"* CapacityReservationStatus MUST be ""Unused"" when the *charge* represents the unused portion of a *capacity reservation*."	classified_high	`Unused`
value_high	Entity predicate (CapacityReservationStatus)	specification/datasets/cost_and_usage/columns/capacityreservationstatus.md	16	39	Used	"* CapacityReservationStatus MUST be ""Used"" when the *charge* represents the used portion of a *capacity reservation*."	classified_high	`Used`
value_high	Entity predicate (ContractedCost)	specification/datasets/cost_and_usage/columns/contractedcost.md	14	166	Tax	"* ContractedCost of a [*charge*](#glossary:charge) calculated based on other *charges* (e.g., when the [ChargeCategory](#datamodel.costandusage.chargecategory) is ""Tax"") MUST be calculated based on the ContractedCost of those related *charges*."	classified_high	`Tax`
value_high	Entity predicate (ContractedCost)	specification/datasets/cost_and_usage/columns/contractedcost.md	15	97	Credit	"* ContractedCost of a *charge* unrelated to other *charges* (e.g., when the ChargeCategory is ""Credit"") MUST be equal to the [BilledCost](#datamodel.costandusage.billedcost)."	classified_high	`Credit`
value_high	Entity predicate (ChargeClass)	specification/datasets/cost_and_usage/columns/chargeclass.md	13	23	Correction	"* ChargeClass MUST be ""Correction"" when ChargeClass is not null."	classified_high	`Correction`
value_high	Entity predicate (ChargeCategory)	specification/datasets/cost_and_usage/columns/commitmentdiscountquantity.md	15	28	Usage	"* When ChargeCategory is ""Usage"" or ""Purchase"" and CommitmentDiscountId is not null, CommitmentDiscountQuantity MUST adhere to the following requirements:"	classified_high	`Usage`
value_high	Same line as explicit value context	specification/datasets/cost_and_usage/columns/commitmentdiscountquantity.md	15	39	Purchase	"* When ChargeCategory is ""Usage"" or ""Purchase"" and CommitmentDiscountId is not null, CommitmentDiscountQuantity MUST adhere to the following requirements:"	classified_high	`Purchase`
value_high	Entity predicate (CommitmentDiscountQuantity)	specification/datasets/cost_and_usage/columns/commitmentdiscountquantity.md	16	114	Correction	"* CommitmentDiscountQuantity MUST NOT be null when [ChargeClass](#datamodel.costandusage.chargeclass) is not ""Correction""."	classified_high	`Correction`
value_high	Entity predicate (CommitmentDiscountQuantity)	specification/datasets/cost_and_usage/columns/commitmentdiscountquantity.md	17	66	Correction	"* CommitmentDiscountQuantity MAY be null when ChargeClass is ""Correction""."	classified_high	`Correction`
value_high	Entity predicate (CommitmentDiscountQuantity)	specification/datasets/cost_and_usage/columns/commitmentdiscountquantity.md	19	69	Purchase	"* When CommitmentDiscountQuantity is not null and ChargeCategory is ""Purchase"", CommitmentDiscountQuantity MUST adhere to the following requirements:"	classified_high	`Purchase`
